id,name,latitude,longitude,sector,subsector,assetType,sourceType,pollution_type,emissionsQuantity,emissionsFactor,emissionsFactorUnits,activity,activityUnits,capacity,capacityUnits,capacityFactor,year,source_file,wte_class,waste_type,how_used,energy_generated,needed_hardware,wte_score,wte_confidence,wte_reason,second_best_wte_class,second_best_wte_score,classification_note
1295806,Abu Kabir Subdivision,30.722374916000092,31.681889145412015,buildings,residential-onsite-fuel-usage,,gadm-aggregation,ch4,79.36753,7.372985601599613e-08,t of CH4 per MJ,1076463922.3326402,MJ,103248184.51283996,m^2,10.42598402491785,2024,egy_ch4_source.csv,,,,,,,,,,,
1293803,Kafr az-Zayyat Subdivision,30.79966259000011,30.832884321550303,buildings,residential-onsite-fuel-usage,,gadm-aggregation,ch4,77.31228999999999,6.278675832711723e-08,t of CH4 per MJ,1231347055.65153,MJ,118103676.47904,m^2,10.425984121417748,2024,egy_ch4_source.csv,,,,,,,,,,,
1296071,Al-Baliyana Subdivision,26.2471179960001,31.942264101739696,buildings,residential-onsite-fuel-usage,,gadm-aggregation,ch4,76.60667000000001,8.28722340841401e-08,t of CH4 per MJ,924394893.49619,MJ,88662603.843,m^2,10.425984049972968,2024,egy_ch4_source.csv,,,,,,,,,,,
1293810,Ad-Dukhaylah Subdivision,31.11903200000011,29.806595636360857,buildings,residential-onsite-fuel-usage,,gadm-aggregation,ch4,76.45443999999999,4.292834917413286e-08,t of CH4 per MJ,1780977872.9173398,MJ,170821081.09307995,m^2,10.425984085341842,2024,egy_ch4_source.csv,,,,,,,,,,,
1293763,Talkha Subdivision,31.104508400000046,31.380656324653344,buildings,residential-onsite-fuel-usage,,gadm-aggregation,ch4,76.39497,7.12803129165831e-08,t of CH4 per MJ,1071754133.42254,MJ,102796448.21052,m^2,10.425984088746546,2024,egy_ch4_source.csv,,,,,,,,,,,
1295912,Al-Qusiyah Subdivision,27.41292589100013,30.818312812651975,buildings,residential-onsite-fuel-usage,,gadm-aggregation,ch4,76.30515,8.237332157304572e-08,t of CH4 per MJ,926333290.23081,MJ,88848523.5564,m^2,10.425984058618424,2024,egy_ch4_source.csv,,,,,,,,,,,
1293818,Ar-Raml 2 Subdivision,31.211122626000048,29.99756479197722,buildings,residential-onsite-fuel-usage,,gadm-aggregation,ch4,76.22435,9.392496863707217e-08,t of CH4 per MJ,811545120.6008099,MJ,77838707.69736,m^2,10.425983994443095,2024,egy_ch4_source.csv,,,,,,,,,,,
1293801,As-Santah Subdivision,30.775026322000144,31.115025822944666,buildings,residential-onsite-fuel-usage,,gadm-aggregation,ch4,75.48628,6.690749543805161e-08,t of CH4 per MJ,1128218587.55558,MJ,108212191.72164004,m^2,10.425984074490945,2024,egy_ch4_source.csv,,,,,,,,,,,
1295926,Manfalut Subdivision,27.308951555000107,30.935885903536494,buildings,residential-onsite-fuel-usage,,gadm-aggregation,ch4,75.42699999999999,8.572632702788725e-08,t of CH4 per MJ,879858062.4533601,MJ,84390888.65868002,m^2,10.425984089490475,2024,egy_ch4_source.csv,,,,,,,,,,,
1296085,Tima Subdivision,26.873752455000012,31.428561401277598,buildings,residential-onsite-fuel-usage,,gadm-aggregation,ch4,73.56872999999999,1.0446522295820773e-07,t of CH4 per MJ,704241353.4065,MJ,67546751.44344,m^2,10.425984053373664,2024,egy_ch4_source.csv,,,,,,,,,,,
